"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"decoy_4731","0.509329","0.426124","0.700576","0.658438","0.56394","0.492931","-7.367","fhyqA@DXDp@QXHRYV]WeiqVoAZi`Bf`P@@","O=c1[nH]c(=S)[nH]c2nc(-c3cccs3)ccc12"
"decoy_4733","0.435266","0.369104","0.770162","0.780737","0.484074","0.434268","-4.267","ffsab@ERbT@QdbbbRfNbRfRppV`iKV`dFH@bjB@@","O=C(Nc1ccc2c(c1)OCCO2)c1cc2ccccc2s1"
"decoy_4736","0.505092","0.438711","0.820551","0.844206","0.617039","0.549615","-4.72","dg~D`JzpBDiW[e\H{jjZjjcD@","O=C(N[C@H]1CCSC1)C1CCOCC1"
"decoy_4737","0.345836","0.313057","0.550281","0.537506","0.484059","0.446718","-9.014","fhyp`@DV|BbSJvklmFRUxKU@ASSD@@","O=C1COc2ccc(Cc3cc[nH]n3)cc2N1"
"decoy_4739","0.344743","0.325685","0.616304","0.542424","0.475191","0.451245","-4.072","fdeiB@FBTxI`AFRJIPkISQHeARCFiVffZZ`@@","O=C(Nc1cc(-c2cccs2)n[nH]1)c1cc[nH]n1"
"decoy_4741","0.411551","0.427606","0.635892","0.755679","0.465145","0.496054","-5.021","dk_H@FFPRf_YWJtzjh@HbD@","c1cnc(NC[C@H]2CCCO2)nc1"
"decoy_4742","0.411966","0.372722","0.671149","0.647025","0.444102","0.416965","-4.692","fbmPa@LB``@QpHrRPiQQIIIYZLzJ\kSTE@@@@HD`","O=S(=O)(Cc1ccccc1)/N=c1\[nH]c2ccccc2s1"
"decoy_4747","0.382485","0.35647","0.654399","0.599284","0.499129","0.470525","-7.8","flup`@DXT@rSJjnwJdhJTTmT@Tp@@@@@","O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1"
"decoy_4748","0.515112","0.44079","0.743187","0.720509","0.556474","0.499435","-7.252","fbmPR@FJeipPABTsvs{\nJBTgMLuLttuS@b@@","O=C(CN1C(=O)N[C@@H](c2cccs2)C1=O)c1ccco1"
"decoy_4750","0.488796","0.402962","0.813172","0.813789","0.546446","0.4832","-7.172","fb}a`@D@]EIeYUeUVcEVCfJVjB@BBbBaQ@@","O=C1C[C@@H](c2ccccc2)c2cc3c(cc2N1)OCO3"
"decoy_4751","0.25202","0.226223","0.457042","0.423979","0.34138","0.310887","-3.88","dg~D`Na@BLddJrTRUL]kST@DPt@","O=S1(=O)C=C[C@@H](Nc2ccccc2)C1"
"decoy_4754","0.392953","0.346559","0.683627","0.654554","0.459061","0.414718","-3.558","fhi`a@LPP@HXDYIHUDdcDeIW`kUMT@B@@@","O=S(=O)(NCCc1ccccc1)c1cccs1"
"decoy_4757","0.525178","0.445284","0.806746","0.770829","0.623141","0.553571","-7.321","fj}P`@DD@kHheDdhcMhdiFl{IVhHFJ`@HQjV`@","O=C(NNC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccccc1"
"decoy_4765","0.409357","0.374151","0.786294","0.757421","0.486455","0.466704","-4.82","fbup`@DXLBrSJrj~rjcIruUUUP@P@@","O=C(NCCCOc1ccccc1)NC1CCNCC1"
"decoy_4773","0.480508","0.450839","0.724595","0.711306","0.529318","0.500343","-7.812","fb}I@@LLLxFRJIJUQQZYJ`f\LyNZYffi@Bh`I@@","C1=C[C@H](c2cn[nH]c2-c2ccccc2)c2c[nH]nc2O1"
"decoy_4775","0.143078","0.137746","0.389536","0.348597","0.222476","0.212409","-6.093","flui@@DZCEHLbbTRdRbQRUkrPqZjjijjiaa@@","O=C(NCC1=CN=NC1)[C@H]1CNCC12CCNCC2"
"decoy_4779","0.515278","0.433875","0.770651","0.727709","0.593936","0.527703","-6.488","fj}Q`@EV@bRSKLv{|jsagYJuRCAD@D@@@","O=C(NNc1ccccc1)c1cc2ccccc2oc1=O"
"decoy_4780","0.331292","0.283719","0.549696","0.549185","0.385711","0.344576","-5.754","f`iH@@@XxiJYWnUz\TYw``bjjbdL`d@","c1cnc(N[C@@H]2CC[N@@]3CCCC[C@H]23)cn1"
"decoy_4781","0.538977","0.370106","0.801938","0.716901","0.674486","0.513377","-7.195","fdeQ@@DD@drrj}srtxHXmPHQUTUaTL`rCH","O=C(N/N=C/[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccccc1"
"decoy_4783","0.336093","0.31325","0.563922","0.551198","0.379955","0.370358","-7.36","fbmQ@@DR@drsZk|kSfkIrtsULp@L@aQ@","O=C1N=c2ccccc2=C/C1=C/NCc1ccccc1"
"decoy_4785","0.19172","0.175903","0.422096","0.406333","0.245289","0.236753","-3.891","f`qQ@@FB@eL~jrnJN}UTu@ADHJCH","C(=N/C[C@H]1CCCO1)\NCc1ccccc1"
"decoy_4788","0.343285","0.325481","0.602866","0.61112","0.407178","0.386792","-4.847","foAPb@FVDh@PeL~wJxiYuLtuUUBT@@","O=C(NCc1cccs1)[C@@H]1CNCCO1"
