"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"decoy_1766","0.377882","0.434899","0.618008","0.715267","0.419102","0.488535","fhiqb@LDesU`ABTs}k\nJ^CSLuMMR@@","O=C(CNC(=O)c1ccco1)Nc1nccs1"
"decoy_1767","0.405668","0.293616","0.644977","0.565074","0.48885","0.387027","fnsH`@DX]DCTfUeV]}eUV|FkVjB@@BjhH@@","O=C(NCc1ccc(N2CCOCC2)nc1)Nc1ccccc1"
"decoy_1768","0.389251","0.409595","0.627301","0.675837","0.392404","0.41613","flmpB@FV\@HRf_e[W[EEZlzJZYjiijjh@@","c1csc(C[N@@]2CCc3c(cnn3CC3CC3)C2)c1"
"decoy_1769","0.324234","0.35923","0.573673","0.576705","0.406273","0.42134","fegqa@LASAG`AC@cIIBhhdhcD\eDdkShcfmTaTCDp@H@`f@","O=C(N/N=C/c1ccccc1)c1ccccc1NS(=O)(=O)c1cccs1"
"decoy_177","0.352743","0.341905","0.850232","0.87481","0.462212","0.440537","egdX@@@@LdbdRTRtTvRRVtJWBfafWUPquuUUUPA@D@@TAaABIh`@","c1ccc(C[C@H]2CC[C@@]3(C2)[C@@H](c2ccccc2)CCC[N@]3Cc2ccccc2)cc1"
"decoy_1770","0.429313","0.483841","0.685465","0.780813","0.495111","0.544578","fakI@@DXUhBSJkJlzsohtRmzuUUUUPPEDFH@","O=C(NCCN1CCCCC1)NC[C@H]1CCN(c2ccccc2)C1"
"decoy_1771","0.437795","0.392608","0.720155","0.715117","0.484633","0.438205","few`a@LPP@H\DYIHUEDeEEdeiTmASWIQsVhJ@I@hj`ZED@","O=S(=O)(N[C@H](c1ccc2c(c1)CCCC2)c1cccs1)c1ccccc1"
"decoy_1772","0.392963","0.448615","0.66716","0.82993","0.448285","0.505876","fhyp@@@\UdbRrbTLRQJRUxH@Tm@@P@@","c1ccc(-c2[nH]cnc2-c2ccncc2)cc1"
"decoy_1773","0.539471","0.397008","0.771287","0.732893","0.626575","0.45964","fcoqP@DXtAWa{RYeU}UYWVTRbuWmjjjjj@BjjJGT@","O=C(NCCNCCCOc1ccc(C[C@H]2COCO2)cc1)N1CCOCC1"
"decoy_1774","0.378458","0.343131","0.614208","0.556937","0.39563","0.364056","dg~H@DAIefUU[tvhJB``@","O=C(NC1CCCC1)c1ccccc1"
"decoy_1775","0.340952","0.32764","0.619551","0.648765","0.402133","0.393946","fj}QB@DXD@HRYYV]WmZ\m{IVfiAB@@`AAT@","O=C1/C(=C\c2ccccc2)C=NC(=S)N1c1ccccc1"
"decoy_1776","0.413459","0.345477","0.766521","0.727635","0.51848","0.455567","fmoab@FN[L@PeL~lkjlkZxhZu^sWSMP@UPAETD@@","c1csc(CNCc2ccc(OCCc3ccc4c(c3)OCCO4)cc2)c1"
"decoy_1777","0.365736","0.360354","0.685901","0.721661","0.432848","0.423442","ffsQA@JYx@HJDIRnvrmjjRegQRVmUSUUUUMMbTMGH@","O=C(C[C@@H]1CC[C@@H]2Cc3scnc3C[C@H]2C1)N1CCSCC1"
"decoy_1778","0.333509","0.367206","0.515104","0.526709","0.361604","0.383718","fakpR@LQSA@^`BLddJbRRfbbRvrkIjUjuAAPCPPd@@@","O=c1[nH]c(=O)c2cc(S(=O)(=O)NCCc3ccccc3)ccc2[nH]1"
"decoy_1779","0.415575","0.37776","0.830542","0.684542","0.478039","0.449285","ekhVH@@DNAIGI`LbbbTTqbRRvTTRVXDdtBRzfvNZjjjjiijiYfpHeDT`@","O=C1CCN[C@@H]2NC(NCCC3=c4ccccc4=NC3)=N[C@@H]([C@H]3CC=CCC3)N12"
"decoy_178","0.359397","0.393119","0.57999","0.66909","0.407904","0.452485","fakPb@LN``@QddaTRRbtVVfRUXJV}VdH@HH@@@DBP","O=S(=O)(/N=C/c1ccccc1Nc1ccccc1)c1ccccc1"
"decoy_1780","0.288124","0.30023","0.541102","0.573705","0.338575","0.355139","fcH@@@XikIEDhldhhddeElcPR^eFoXPTU@D@@@@@@@","c1ccc(CN(Cc2ccccc2)c2cc(Nc3ccccc3)ncn2)cc1"
